file_name,p_circle,p_line
1.png,0.9999,0.0001
2.png,0.0001,0.9999
3.png,0.0001,0.9999
4.png,0.9999,0.0001
5.png,0.0001,0.9999
6.png,0.0001,0.9999
7.png,0.9999,0.0001
8.png,0.0001,0.9999
9.png,0.9999,0.0001
10.png,0.0001,0.9999
11.png,0.0001,0.9999
12.png,0.0001,0.9999
13.png,0.9999,0.0001
14.png,0.0001,0.9999
15.png,0.0001,0.9999
16.png,0.0001,0.9999
17.png,0.0001,0.9999
18.png,0.9999,0.0001
19.png,0.0001,0.9999
20.png,0.9999,0.0001
21.png,0.9999,0.0001
22.png,0.9999,0.0001
23.png,0.0001,0.9999
24.png,0.0001,0.9999
25.png,0.9999,0.0001
26.png,0.9999,0.0001
27.png,0.0001,0.9999
28.png,0.9999,0.0001
29.png,0.9999,0.0001
30.png,0.9999,0.0001
31.png,0.0001,0.9999
32.png,0.9999,0.0001
33.png,0.9999,0.0001
34.png,0.0001,0.9999
35.png,0.0001,0.9999
36.png,0.0001,0.9999
37.png,0.0001,0.9999
38.png,0.0001,0.9999
39.png,0.0001,0.9999
40.png,0.9999,0.0001
